epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.136,1.07693,1.53192,1.18251,0.68673,0.4962,0.56858,0.36199,1.31527,3.12644,1.53121,0.000651515,0.000651515,0.000651515
1,19.9666,1.19423,1.99732,1.35585,0.96153,0.97297,0.99048,0.72716,0.97224,0.92511,1.27793,0.000651515,0.000651515,0.000651515
2,37.9807,0.84947,0.63818,1.11949,0.89279,0.90029,0.95119,0.63836,1.15147,0.92894,1.56069,0.00129208,0.00129208,0.00129208
3,55.6423,0.84185,0.59614,1.11763,0.96126,0.94932,0.9883,0.76648,0.84479,0.75021,1.30673,0.00190625,0.00190625,0.00190625
4,73.7726,0.82649,0.56181,1.09707,0.96431,0.91287,0.95754,0.76118,0.78982,0.87081,1.18787,0.0018812,0.0018812,0.0018812
5,91.8968,0.78434,0.50218,1.07965,0.9253,0.93581,0.97555,0.74338,0.92261,0.76466,1.27377,0.0018416,0.0018416,0.0018416
6,109.509,0.77368,0.48805,1.0718,0.97605,0.96364,0.99216,0.7479,0.94138,0.56528,1.31376,0.001802,0.001802,0.001802
7,127.077,0.73173,0.46452,1.05677,0.96738,0.96284,0.99159,0.79466,0.72129,0.55185,1.13686,0.0017624,0.0017624,0.0017624
8,144.778,0.68651,0.43749,1.02412,0.99557,1,0.995,0.84702,0.64066,0.37498,1.0648,0.0017228,0.0017228,0.0017228
9,162.654,0.67893,0.42663,1.02111,0.98762,0.94932,0.98933,0.83585,0.68489,0.4273,1.11734,0.0016832,0.0016832,0.0016832
10,180.325,0.68973,0.42214,1.03869,0.9864,0.98311,0.99446,0.8761,0.58026,0.38325,1.00257,0.0016436,0.0016436,0.0016436
11,198.142,0.68882,0.42506,1.05422,0.98977,0.98051,0.9946,0.84572,0.66765,0.37458,1.04938,0.001604,0.001604,0.001604
12,215.555,0.67132,0.40226,1.02144,0.99658,0.98531,0.99483,0.85417,0.64738,0.35399,1.03064,0.0015644,0.0015644,0.0015644
13,233.778,0.65339,0.38849,1.01366,0.994,0.96959,0.99364,0.8987,0.52587,0.346,0.9602,0.0015248,0.0015248,0.0015248
14,251.378,0.62375,0.38289,0.99401,0.99428,0.99324,0.99497,0.81385,0.75329,0.37659,1.11026,0.0014852,0.0014852,0.0014852
15,268.702,0.59559,0.37725,0.98165,1,0.98956,0.9949,0.88696,0.53465,0.35751,0.96713,0.0014456,0.0014456,0.0014456
16,286.014,0.59001,0.36155,0.98456,0.97897,0.98311,0.99254,0.85027,0.62491,0.32125,1.02657,0.001406,0.001406,0.001406
17,303.709,0.59062,0.36527,0.98084,0.98643,0.98649,0.99376,0.88703,0.55168,0.3307,0.97734,0.0013664,0.0013664,0.0013664
18,321.199,0.59385,0.36957,0.99183,0.99811,1,0.995,0.88315,0.52079,0.29138,0.97821,0.0013268,0.0013268,0.0013268
19,338.634,0.54344,0.33598,0.9568,0.96658,0.98986,0.9932,0.86325,0.57487,0.32131,0.99976,0.0012872,0.0012872,0.0012872
20,356.465,0.53573,0.32803,0.95608,0.99421,0.98986,0.9948,0.89667,0.53578,0.31656,0.96582,0.0012476,0.0012476,0.0012476
21,373.94,0.54436,0.32776,0.97409,0.99307,0.96884,0.98889,0.86076,0.62973,0.3742,1.02063,0.001208,0.001208,0.001208
