epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.513,1.16326,1.45759,1.28342,0.94979,0.97763,0.98245,0.75609,0.88556,0.50184,1.0605,0.00332305,0.00332305,0.00332305
2,237.395,0.88949,0.618,1.08383,0.90991,0.83224,0.91722,0.68203,0.99866,0.94572,1.20538,0.00664979,0.00664979,0.00664979
3,354.898,0.94328,0.66967,1.11029,0.86159,0.88124,0.92743,0.62944,1.1238,1.98684,1.20045,0.00996993,0.00996993,0.00996993
4,472.98,0.98227,0.68638,1.12931,0.88851,0.84419,0.90926,0.61002,1.21512,0.9129,1.31151,0.0099703,0.0099703,0.0099703
5,589.592,0.93617,0.62701,1.11209,0.54424,0.50487,0.4677,0.30974,1.60239,2.84328,1.55368,0.0099604,0.0099604,0.0099604
6,706.187,0.89058,0.59766,1.09031,0.93156,0.87566,0.9457,0.72388,0.96449,0.85366,1.19427,0.0099505,0.0099505,0.0099505
7,822.198,0.87716,0.58021,1.08574,0.9497,0.93858,0.96994,0.75231,0.88199,0.61837,1.14173,0.0099406,0.0099406,0.0099406
8,938.878,0.85042,0.55436,1.07828,0.95393,0.97724,0.98666,0.80273,0.80837,0.47985,1.1177,0.0099307,0.0099307,0.0099307
9,1056.27,0.82714,0.53301,1.0642,0.95031,0.97414,0.98696,0.78468,0.88134,0.52551,1.15436,0.0099208,0.0099208,0.0099208
10,1172.59,0.80338,0.51856,1.05589,0.95967,0.9803,0.98475,0.81617,0.79037,0.49268,1.11209,0.0099109,0.0099109,0.0099109
11,1289.13,0.78957,0.49808,1.04705,0.95012,0.95602,0.98656,0.80897,0.79211,0.5158,1.08803,0.009901,0.009901,0.009901
12,1406.28,0.77213,0.48773,1.03892,0.95392,0.99235,0.99109,0.82406,0.76525,0.43223,1.0656,0.0098911,0.0098911,0.0098911
13,1523.1,0.76473,0.47942,1.03788,0.95766,0.98265,0.98645,0.83108,0.73914,0.43859,1.06572,0.0098812,0.0098812,0.0098812
